"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Place of Death"	"Place of Death Code"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	213	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	184	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	8	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	56	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	16	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other infectious diseases"	"B99-B99"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	41	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	8	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	31	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	9	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	37	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	19	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	17	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Inpatient"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	2	Not Applicable	Not Applicable
